iter,edge,activity,loss,num_events
0,1.2961692810058594,0.10215187072753906,-1.2910616397857666,53557
1,1.3008155822753906,0.10268592834472656,-1.2956812381744385,53837
2,1.2997512817382812,0.1022491455078125,-1.2946388721466064,53608
3,1.283233642578125,0.10126495361328125,-1.2781703472137451,53092
4,1.3169975280761719,0.10396194458007812,-1.31179940700531,54506
5,1.3205451965332031,0.10441207885742188,-1.3153245449066162,54742
6,1.3246917724609375,0.10449981689453125,-1.3194668292999268,54788
7,1.3258934020996094,0.10521697998046875,-1.3206325769424438,55164
8,1.3363723754882812,0.10576820373535156,-1.3310840129852295,55453
9,1.3584671020507812,0.10766410827636719,-1.353083848953247,56447
10,1.3182182312011719,0.10400009155273438,-1.3130182027816772,54526
11,1.3233299255371094,0.10457801818847656,-1.3181010484695435,54829
12,1.3289070129394531,0.10545921325683594,-1.3236340284347534,55291
13,1.3473663330078125,0.10693931579589844,-1.3420193195343018,56067
14,1.3511314392089844,0.10764122009277344,-1.3457493782043457,56435
15,1.3442192077636719,0.10657119750976562,-1.3388906717300415,55874
16,1.354644775390625,0.10761642456054688,-1.3492639064788818,56422
17,1.3470458984375,0.1067657470703125,-1.3417075872421265,55976
18,1.3672981262207031,0.10886192321777344,-1.3618550300598145,57075
19,1.3394050598144531,0.10640335083007812,-1.3340848684310913,55786
20,1.3554306030273438,0.10774612426757812,-1.3500432968139648,56490
21,1.3562774658203125,0.108062744140625,-1.3508743047714233,56656
22,1.3671684265136719,0.10862159729003906,-1.3617373704910278,56949
23,1.3651084899902344,0.10853195190429688,-1.3596818447113037,56902
24,1.3751068115234375,0.10943412780761719,-1.3696351051330566,57375
25,1.375030517578125,0.10979270935058594,-1.3695409297943115,57563
26,1.3684272766113281,0.10894203186035156,-1.3629801273345947,57117
27,1.4034080505371094,0.11224365234375,-1.3977959156036377,58848
28,1.4034461975097656,0.11221504211425781,-1.3978354930877686,58833
29,1.3860969543457031,0.11041069030761719,-1.3805763721466064,57887
30,1.4121932983398438,0.11290168762207031,-1.406548261642456,59193
31,1.4070281982421875,0.11253738403320312,-1.4014012813568115,59002
32,1.4261322021484375,0.11400032043457031,-1.420432209968567,59769
33,1.4152717590332031,0.11310577392578125,-1.409616470336914,59300
34,1.4080314636230469,0.11255645751953125,-1.4024035930633545,59012
35,1.4310646057128906,0.11505889892578125,-1.4253116846084595,60324
36,1.4425201416015625,0.11637496948242188,-1.4367014169692993,61014
37,1.4404373168945312,0.11613273620605469,-1.4346306324005127,60887
38,1.4489326477050781,0.11674880981445312,-1.4430952072143555,61210
39,1.4449081420898438,0.11669540405273438,-1.4390733242034912,61182
40,1.4572982788085938,0.11715316772460938,-1.4514405727386475,61422
41,1.4398384094238281,0.1156768798828125,-1.4340546131134033,60648
42,1.4520149230957031,0.11726570129394531,-1.446151614189148,61481
43,1.4552764892578125,0.11722564697265625,-1.4494152069091797,61460
44,1.4510955810546875,0.11699295043945312,-1.4452459812164307,61338
45,1.4545135498046875,0.11761093139648438,-1.4486329555511475,61662
46,1.4482307434082031,0.1169281005859375,-1.4423843622207642,61304
47,1.4456367492675781,0.11648368835449219,-1.4398125410079956,61071
48,1.4498367309570312,0.11702728271484375,-1.4439853429794312,61356
49,1.4638633728027344,0.1182403564453125,-1.457951307296753,61992
50,1.4553451538085938,0.11746597290039062,-1.4494718313217163,61586
51,1.4685249328613281,0.11842155456542969,-1.4626038074493408,62087
52,1.4466323852539062,0.11660194396972656,-1.4408023357391357,61133
53,1.4737091064453125,0.11927986145019531,-1.467745065689087,62537
54,1.4597091674804688,0.11794662475585938,-1.4538118839263916,61838
55,1.456024169921875,0.117431640625,-1.4501526355743408,61568
56,1.4533462524414062,0.11757469177246094,-1.447467565536499,61643
57,1.4741973876953125,0.119415283203125,-1.468226671218872,62608
58,1.4703292846679688,0.11956596374511719,-1.464350938796997,62687
59,1.4548835754394531,0.1176300048828125,-1.4490020275115967,61672
